연번,화재발생년월일,시도,시군구,발화요인대분류,발화요인소분류,차량장소,층수,지상지하,차량상태,차량발화지점
1,2024-01-08,부산광역시,기장군,전기적 요인,접촉불량에 의한 단락,일반도로,지상1층,지상,운행중,엔진룸
2,2024-01-12,경상남도,통영시,부주의,담배꽁초,주차장,지상1층,지상,주차,적재함
3,2024-01-12,경기도,안양시만안구,화학적 요인,기타(화학적요인),주차장,지상1층,지상,충전중,기타차량위치
4,2024-01-23,울산광역시,북구,교통사고,교통사고,일반도로,지상1층,지상,운행중,기타차량위치
5,2024-01-26,대구광역시,달서구,부주의,"불씨,불꽃,화원방치",일반도로,지상1층,지상,운행중,적재함
6,2024-01-27,경기도,수원시장안구,화학적 요인,화학적 폭발,주차장,지상1층,지상,주차,기타차량위치
7,2024-02-02,강원특별자치도,삼척시,교통사고,교통사고,일반도로,지상1층,지상,운행중,엔진룸
8,2024-02-21,경상남도,김해시,전기적 요인,기타(전기적요인),주차장,지상3층,지상,주차,기타차량위치
9,2024-02-29,서울특별시,관악구,교통사고,교통사고,터널,지상1층,지상,운행중,바퀴
10,2024-03-06,경상남도,진주시,교통사고,교통사고,일반도로,지상1층,지상,운행중,기타차량위치
11,2024-03-07,충청북도,충주시,부주의,담배꽁초,일반도로,지상1층,지상,운행중,적재함
12,2024-03-08,강원특별자치도,춘천시,전기적 요인,기타(전기적요인),주차장,지상1층,지상,충전중,기타차량위치
13,2024-03-10,광주광역시,북구,전기적 요인,접촉불량에 의한 단락,주차장,지상1층,지상,충전중,기타차량위치
14,2024-03-19,전라남도,광양시,전기적 요인,절연열화에 의한 단락,일반도로,지상1층,지상,운행중,기타차량위치
15,2024-03-22,광주광역시,광산구,부주의,담배꽁초,일반도로,지상1층,지상,운행중,적재함
16,2024-03-24,인천광역시,미추홀구,교통사고,교통사고,일반도로,지상1층,지상,운행중,기타차량위치
17,2024-04-02,경기도,여주시,부주의,담배꽁초,일반도로,지상1층,지상,운행중,적재함
18,2024-04-08,경상남도,양산시,부주의,담배꽁초,고속도로,지상1층,지상,운행중,적재함
19,2024-04-15,경기도,파주시,전기적 요인,미확인단락,주차장,지상1층,지상,주차,적재함
20,2024-05-03,경기도,김포시,화학적 요인,기타(화학적요인),공지,지상1층,지상,주차,기타차량위치
